26.11.2018                        Dynamic List Display                               1
--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
|BUKRS|LIFNR |GJAHR|BELNR     |BUZEI|BLDAT     |XBLNR           |BLART|         DMBTR|
|C04  |300533| 2018|5100483825|    1|06.09.2018|9130076805      |RE   |    13,868.10 |
|C04  |300533| 2018|5100483826|    1|06.09.2018|9130076806      |RE   |    18,884.40 |
|C04  |300533| 2018|5100483827|    1|06.09.2018|9130076807      |RE   |    19,021.50 |
|C04  |300533| 2018|5100483829|    1|06.09.2018|9130076808      |RE   |    18,268.25 |
|C04  |300533| 2018|5100483830|    1|06.09.2018|9130076809      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483831|    1|06.09.2018|9130076810      |RE   |    19,021.50 |
|C04  |300533| 2018|5100483832|    1|06.09.2018|9130076833      |RE   |    14,171.10 |
|C04  |300533| 2018|5100483855|    1|06.09.2018|9130076812      |RE   |    19,591.40 |
|C04  |300533| 2018|5100483857|    1|06.09.2018|9130076813      |RE   |    18,884.40 |
|C04  |300533| 2018|5100483858|    1|06.09.2018|9130076814      |RE   |    21,461.10 |
|C04  |300533| 2018|5100483859|    1|06.09.2018|9130076815      |RE   |    19,021.50 |
|C04  |300533| 2018|5100483860|    1|06.09.2018|9130076816      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483861|    1|06.09.2018|9130076817      |RE   |    19,021.50 |
|C04  |300533| 2018|5100483862|    1|06.09.2018|9130076818      |RE   |    16,040.80 |
|C04  |300533| 2018|5100483863|    1|06.09.2018|9130076819      |RE   |    19,021.50 |
|C04  |300533| 2018|5100483864|    1|06.09.2018|9130076820      |RE   |    22,284.10 |
|C04  |300533| 2018|5100483865|    1|06.09.2018|9130076821      |RE   |    21,461.10 |
|C04  |300533| 2018|5100483866|    1|06.09.2018|9130076822      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483867|    1|06.09.2018|9130076823      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483868|    1|06.09.2018|9130076824      |RE   |    21,865.10 |
|C04  |300533| 2018|5100483869|    1|06.09.2018|9130076825      |RE   |    18,689.66 |
|C04  |300533| 2018|5100483870|    1|06.09.2018|9130076826      |RE   |    15,236.56 |
|C04  |300533| 2018|5100483871|    1|06.09.2018|9130076827      |RE   |    17,813.26 |
